region,population,area,living_area,per_capita,real_incomes,formal_wage,real_pay,gdpp,income,subsidies,welfare,mining,manufact,indust,water_supply,provision,reg_prod_total,retail,poverty_percent,ps_child,ps_empl,ps_pens,childrens,child_orphanage,child_adopted,pension,pensioners,pensioners_percent,living_wage,unemployment_rate,newborn,child_mortality_rural,child_mortality_urban,child_mortality,morbidity,respiratory,neoplasms,disabled_18_60,density,spec_income,spec_subsidies,spec_mining,spec_manufact,spec_indust,spec_water_supply,spec_provision,spec_reg_prod,childrens_percent,child_orphanage_percent,newborn_1000,child_mortality_1000,disabled_1000
Кировская область,1262402,120374,14.9,24192,97.8,32692,104.1,315153.9,33924.44405923,36591.22104716999,27.6,1400797260000.0,255581757880000,306120939560000.0,8820146160000.0,40318238260000.0,612241879120000.0,163224,14.0,40.8,55.7,3.4,253990,715,59,16997.95,365047,28.9,11441,5.4,10619,9,31,40,299778,73.644,8.208,33709,10.487331151245286,26872.93275773486,28985.39533933722,1109628517.6987996,202456711792.28168,242490854387.11282,6986796725.607216,31937717351.52511,484981708774.22565,20.11958155959829,0.281507145950628,8.411742059977726,0.03168562787448056,26.702270750521624
Костромская область,633385,60211,14.5,25780,97.3,32220,98.6,323951.6,18440.77433533,19751.68677352,22.5,1151136200000.0,137460634800000,174571606600000.0,3817116600000.0,32142719000000.0,349143213200000.0,179587,12.5,39.9,53.5,6.6,129692,112,91,16552.76,175753,27.7,11993,5.5,5402,13,29,42,228129,73.554,9.161,20316,10.51942336117985,29114.63696697901,31184.329868121284,1817435209.2329311,217025402875.02863,275616894305.99084,6026534572.179638,50747521649.549644,551233788611.9817,20.476013798874302,0.08635844924898992,8.528777915485842,0.06631037994268889,32.075278069420655
Краснодарский край,5675462,75485,18.1,36838,100.4,38499,103.2,460720.2,201287.16458267,95291.25833002,25.7,24330834500000.0,918998326790000,1087351895830000.0,30522965280000.0,113499769260000.0,2174703791660000.0,261857,10.4,39.3,53.8,6.9,1185680,263,96,16395.76,1447727,25.5,12191,5.7,59235,91,139,230,1363625,234.591,33.336,161271,75.18661985824998,35466.2165974629,16790.044287147022,4287022712.8646092,161924848900.40668,191588261154.77472,5378058258.517104,19998331282.9863,383176522309.54944,20.891338890120313,0.022181364280412928,10.43703578669014,0.04052533520619114,28.41548406103327
Красноярский край,2866255,2366797,16.6,32832,99.8,54426,105.5,951613.7,144523.60732765,58740.29314297,24.8,635615997300000.0,1727194113600000,2571171353160000.0,33840312560000.0,174520929700000.0,5142342706320000.0,196888,17.0,35.8,59.4,4.8,633164,1868,59,19094.34,646186,22.5,13839,6.0,28985,44,109,153,1009395,165.088,36.039,77141,1.2110269702048804,50422.45275722154,20493.742930398726,221758356217.43353,602596110115.8131,897049059891.7404,11806455657.294971,60888137901.1986,1794098119783.4807,22.09028854725068,0.2950262491234498,10.11249871347804,0.05337975860486942,26.913516068877332
Курганская область,827166,71488,16.7,21860,97.8,33182,104.3,294464.0,20379.90635097,32556.92843459,26.1,3393374800000.0,123383789960000,149642477960000.0,3400843900000.0,19464469300000.0,299284955920000.0,147332,19.3,39.4,58.2,2.4,177931,382,67,16366.08,238309,28.8,11204,8.3,7429,15,31,46,128757,20.964,5.763,25878,11.570697179946285,24638.230235490817,39359.60669876422,4102410882.458902,149164484468.6556,180909851178.6026,4111440629.8131213,23531515197.674953,361819702357.2052,21.510918001948824,0.21468996408720234,8.981268572450995,0.0556115701080557,31.28513502731012
Курская область,1104008,29997,17.1,29786,97.8,35805,105.3,487030.7,33048.73519263,25588.78281545,23.2,104702314000000.0,210207310400000,378835471500000.0,6601104200000.0,57324742900000.0,757670943000000.0,207134,9.9,34.2,59.2,6.5,206665,221,66,16505.25,312831,28.3,10748,4.9,9111,11,31,42,208119,57.093,5.558,52068,36.8039470613728,29935.23162208064,23178.07734676741,94838365301.70071,190403792726.13968,343145585448.6561,5979217723.059978,51924209697.75581,686291170897.3123,18.719520148404722,0.10693634626085693,8.252657589437757,0.03804320258548851,47.16270171955276
Ленинградская область,1875872,83908,17.0,33149,100.8,48286,101.1,661328.6,91575.79243078001,22419.93396862,16.7,15391484600000.0,1091256081500000,1297335494800000.0,21499182300000.0,169188746400000.0,2594670989600000.0,255646,8.7,0.0,0.0,0.0,325265,562,66,18134.51,502282,26.8,12231,5.3,13267,14,38,52,208726,64.931,2.56,40640,22.35629498975068,48817.71913583657,11951.739760825898,8204975925.862745,581732698979.4613,691590628145.204,11460900477.218061,90192052762.66185,1383181256290.408,17.339402688456353,0.17278219298110772,7.0724441752955425,0.027720441480015696,21.66459118745842
Липецкая область,1139371,24047,16.5,32226,94.9,36790,103.3,546151.3,38606.15282759001,23814.29673941,22.3,6843657300000.0,737842641000000,779282027800000.0,11323568200000.0,23272161300000.0,1558564055600000.0,236552,8.4,40.0,59.3,0.8,217215,228,82,16966.73,319828,28.1,10627,4.3,9389,13,22,35,300984,50.883,3.046,40127,47.38100386742629,33883.741843166106,20901.26634731795,6006522282.908728,647587696193.7771,683958103023.5104,9938438138.235922,20425446408.5886,1367916206047.0208,19.064466271302326,0.10496512671776811,8.240511650726585,0.030718703565388274,35.21855479909529
Магаданская область,140149,462464,13.8,70864,104.3,102843,105.0,2035007.0,21737.82070883,18493.10538926,11.1,38636039200000.0,209854248970000,267775298770000.0,1134119700000.0,18150890900000.0,535550597540000.0,245817,8.7,0.0,0.0,0.0,29431,214,53,26112.75,29682,21.2,22027,5.7,1314,0,4,4,11669,1.864,0.079,2560,0.3030484535012455,155105.0718080757,131953.17404519476,275678308086.3938,1497365296719.9194,1910647230947.0635,8092242541.866157,129511383598.88405,3821294461894.127,20.99979307736766,0.7271244606027658,9.37573582401587,0.028541052736730195,18.266273751507324
Москва,12678079,2561,13.8,77283,100.2,100070,103.1,1567644.8,1623741.39835865,288463.48780729,17.5,1092663698400000.0,7529104650300000,9781207222000000.0,195176446200000.0,964262427100000.0,1.9562414444e+16,408674,6.0,38.4,48.5,13.2,2166455,1324,66,19115.1,3411515,26.9,20260,2.6,123524,10,440,450,8174015,1480.172,246.383,275544,4950.440843420539,128074.71844580317,22752.9334536636,86185272895.04979,593867939322.6687,771505464037.5723,15394796498.744013,76057455321.10977,1543010928075.1445,17.08819609027519,0.061113662642427374,9.74311644532267,0.035494336326504984,21.733892019445534
